X,Algorithm,value
null,AdaHT,2.657
null,ASHT,1.213
null,BagAdaHT,8.939
null,BagAdwin,4.479
2,BagASHT,4.539
null,BagHT,5.273
2,BagSRHT,14.037
null,BoostAdaHT,7.791
null,BoostHT,4.035
null,HT,1.754
