X,Algorithm,value
null,AdaHT,81.85
null,ASHT,9.73
null,BagAdaHT,83.1
null,BagAdwin,82.05
1,BagASHT,55.26
2,BagASHT,41.54
3,BagASHT,55.26
4,BagASHT,55.26
5,BagASHT,55.26
null,BagHT,82.05
1,BagSRHT,59.38
2,BagSRHT,43.79
3,BagSRHT,59.38
4,BagSRHT,59.38
5,BagSRHT,59.38
null,BoostAdaHT,83.1
null,BoostHT,82.05
null,HT,82.09
