X,Algorithm,value
null,AdaHT,90.93
null,ASHT,54.85
null,BagAdaHT,91.55
null,BagAdwin,91.03
1,BagASHT,77.63
2,BagASHT,70.77
3,BagASHT,77.63
4,BagASHT,77.63
5,BagASHT,77.63
null,BagHT,91.03
1,BagSRHT,79.69
2,BagSRHT,71.89
3,BagSRHT,79.69
4,BagSRHT,79.69
5,BagSRHT,79.69
null,BoostAdaHT,91.55
null,BoostHT,91.03
null,HT,91.05
