X,Algorithm,value
null,AdaHT,1058
null,ASHT,1
null,BagAdaHT,1085
null,BagAdwin,833
1,BagASHT,33
2,BagASHT,1
3,BagASHT,33
4,BagASHT,33
5,BagASHT,33
null,BagHT,833
1,BagSRHT,31
2,BagSRHT,1
3,BagSRHT,31
4,BagSRHT,31
5,BagSRHT,31
null,BoostAdaHT,1085
null,BoostHT,833
null,HT,795
